iter	CrossEntropy
0	0.6492647092
1	0.610995727
2	0.5789792729
3	0.5472992022
4	0.5214089905
5	0.496498253
6	0.4744751142
7	0.4540677305
8	0.4356721945
9	0.4186010932
10	0.404428315
11	0.3909132876
12	0.3794125112
13	0.3677437043
14	0.3579389669
15	0.3497757601
16	0.341827862
17	0.3341778603
18	0.3278716851
19	0.3219104619
20	0.3167340805
21	0.3121143049
22	0.3077412802
23	0.3032812656
24	0.2994391907
25	0.295891833
26	0.2924279374
27	0.2895652512
28	0.2870456041
29	0.2848545974
30	0.2827968711
31	0.2807989943
32	0.2785494816
33	0.2769318958
34	0.2752226732
35	0.2736703035
36	0.2721716129
37	0.2711450639
38	0.270141326
39	0.2688663941
40	0.2676158707
41	0.2666028392
42	0.2654833153
43	0.2644917387
44	0.263669397
45	0.2628976535
46	0.2621743707
47	0.2615472099
48	0.2609017664
49	0.2603214568
50	0.2597437806
51	0.2592725802
52	0.2587971409
53	0.258337117
54	0.2578556407
55	0.2574863236
56	0.2570670599
57	0.2567234127
58	0.2564446765
59	0.2560878738
60	0.2557095134
61	0.2553671914
62	0.2551237023
63	0.2548523667
64	0.254600532
65	0.2543709581
66	0.2541618435
67	0.2538698376
68	0.2536443269
69	0.2533914886
70	0.2532126103
71	0.2530300322
72	0.2527967322
73	0.2526184599
74	0.2524283155
75	0.2522703526
76	0.2520757485
77	0.2518977751
78	0.2517318392
79	0.2515671072
80	0.2514113306
81	0.2512770587
82	0.2511402336
83	0.2510316741
84	0.2508635683
85	0.2506966879
86	0.2505715373
87	0.2504310881
88	0.2503000188
89	0.250196916
90	0.2500582675
91	0.2499451599
92	0.2498412558
93	0.2497170898
94	0.2496088951
95	0.2494687524
96	0.2493416321
97	0.24921165
98	0.2490920168
99	0.2489944218
100	0.2489143234
101	0.2488342041
102	0.2487316506
103	0.2486556066
104	0.2485544614
105	0.2484669088
106	0.2483787649
107	0.2482733559
108	0.24819446
109	0.248114804
110	0.2480396539
111	0.2479601157
112	0.2478796629
113	0.2478214645
114	0.2477616691
115	0.2476786615
116	0.247604776
117	0.247511604
118	0.2474633266
119	0.2473834618
120	0.2473050312
121	0.2472134554
122	0.2471322794
123	0.2470684079
124	0.2469940086
125	0.246929911
126	0.2468578848
127	0.2467821534
128	0.2467318531
129	0.2466766974
130	0.2466050569
131	0.2465367708
132	0.2465141644
133	0.246470852
134	0.2464302646
135	0.2463678203
136	0.2463137656
137	0.2462771138
138	0.2462187842
139	0.2461531364
140	0.2460870203
141	0.2460327334
142	0.2459754964
143	0.2459194269
144	0.2458714378
145	0.2458197695
146	0.2457865405
147	0.2457399348
148	0.2456468167
149	0.245584822
150	0.2455426749
151	0.2454930142
152	0.2454528794
153	0.2454170053
154	0.2453756167
155	0.2453233007
156	0.245271008
157	0.2452126799
158	0.2451636007
159	0.2451161027
160	0.2450574821
161	0.2450070883
162	0.244940174
163	0.2448802644
164	0.2448328649
165	0.2447912377
166	0.2447620369
167	0.2447052306
168	0.2446562513
169	0.2446165663
170	0.2445830965
171	0.2445406183
172	0.2445121804
173	0.2444463738
174	0.2443940519
175	0.24436682
176	0.2443168679
177	0.2442991815
178	0.2442495387
179	0.2441994709
180	0.2441524071
181	0.2441194143
182	0.2440598487
183	0.2440233002
184	0.2439913677
185	0.2439565892
186	0.2439137197
187	0.2438708997
188	0.2438236251
189	0.2437790796
190	0.2437493537
191	0.2436913681
192	0.24364155
193	0.243605464
194	0.2435622274
195	0.2435404962
196	0.2434783534
197	0.2434282992
198	0.2433804333
199	0.2433597967
200	0.2433120089
201	0.2432823389
202	0.2432310616
203	0.2432057176
204	0.2431729593
205	0.2431255395
206	0.2430852557
207	0.2430387911
208	0.243003057
209	0.2429450973
210	0.2428846523
211	0.2428497353
212	0.2428069855
213	0.2427676975
214	0.2427394022
215	0.2426960597
216	0.242645509
217	0.2426111467
218	0.2425791086
219	0.2425490278
220	0.2425103178
221	0.2424714199
222	0.2424146874
223	0.2423856911
224	0.2423586208
225	0.2423172974
226	0.242287516
227	0.2422714425
228	0.2422499629
229	0.2421866734
230	0.2421584711
231	0.2421330155
232	0.2420861484
233	0.2420636757
234	0.2420284573
235	0.2419863225
236	0.241941343
237	0.2418943013
238	0.2418595587
239	0.2418066762
240	0.2417685524
241	0.2417329118
242	0.241717224
243	0.2416543934
244	0.2416102261
245	0.2415722624
246	0.2415455239
247	0.2415015596
248	0.2414791508
249	0.2414193209
250	0.2413856382
251	0.2413299773
252	0.241284528
253	0.2412519477
254	0.2412220508
255	0.2411934175
256	0.24114056
257	0.2410986928
258	0.241066485
259	0.2410355736
260	0.2409852994
261	0.2409390897
262	0.2409137537
263	0.2408802116
264	0.240854851
265	0.2408172623
266	0.2407922436
267	0.2407637959
268	0.2407215722
269	0.2406916728
270	0.240667706
271	0.2406353969
272	0.2406060831
273	0.2405867862
274	0.2405498603
275	0.2405239878
276	0.2404987028
277	0.2404522586
278	0.2404009367
279	0.2403675235
280	0.2403525385
281	0.2402902053
282	0.2402616038
283	0.2402097132
284	0.2401788607
285	0.2401570522
286	0.2401056462
287	0.2400663006
288	0.2400173285
289	0.2400054222
290	0.2399709356
291	0.2399486531
292	0.2399187426
293	0.2398885916
294	0.2398402335
295	0.2397829274
296	0.2397501699
297	0.2397340011
298	0.2397129599
299	0.2396816339
300	0.2396607378
301	0.2396413895
302	0.2395937245
303	0.239561042
304	0.2395069879
305	0.2394705623
306	0.2394265054
307	0.2393845816
308	0.2393738137
309	0.2393488914
310	0.2393101932
311	0.2392718007
312	0.2392305893
313	0.2391831423
314	0.2391457916
315	0.2390993608
316	0.2390778227
317	0.2390378057
318	0.2390132031
319	0.2389628784
320	0.2389271924
321	0.2388668808
322	0.238830834
323	0.2387923725
324	0.2387564596
325	0.2387249292
326	0.2386823703
327	0.2386488101
328	0.2386230302
329	0.2385658258
330	0.2385340551
331	0.2385075283
332	0.2384653649
333	0.2384192968
334	0.2383998433
335	0.2383751908
336	0.2383387591
337	0.2383068138
338	0.2382885764
339	0.2382618931
340	0.2382382205
341	0.2382368845
342	0.2382037051
343	0.2381629481
344	0.2381408815
345	0.2381249986
346	0.2381035693
347	0.2380812283
348	0.2380707576
349	0.2380674663
350	0.2380146318
351	0.2379686518
352	0.2379611108
353	0.2379230773
354	0.2378810984
355	0.2378589863
356	0.2378107451
357	0.2377656337
358	0.2377390327
359	0.237730472
360	0.2376952024
361	0.2376591919
362	0.2376254562
363	0.2375837137
364	0.2375420777
365	0.2375022409
366	0.2374619251
367	0.2374031946
368	0.2373995493
