iter	Passed	Remaining
0	126	126172
1	225	112400
2	333	110667
3	427	106458
4	522	104060
5	617	102347
6	717	101828
7	815	101166
8	912	100527
9	1020	100992
10	1131	101716
11	1234	101666
12	1326	100705
13	1439	101409
14	1532	100625
15	1619	99611
16	1716	99248
17	1820	99322
18	1914	98849
19	2009	98484
20	2104	98099
21	2194	97546
22	2304	97890
23	2409	97986
24	2519	98260
25	2633	98638
26	2732	98458
27	2836	98465
28	2932	98189
29	3033	98069
30	3135	98008
31	3236	97896
32	3343	97973
33	3446	97929
34	3545	97753
35	3642	97549
36	3751	97639
37	3845	97349
38	3937	97015
39	4047	97149
40	4156	97223
41	4269	97382
42	4383	97568
43	4500	97775
44	4606	97749
45	4708	97641
46	4807	97483
47	4920	97596
48	5032	97679
49	5134	97559
50	5236	97432
51	5342	97400
52	5449	97377
53	5559	97395
54	5664	97328
55	5770	97272
56	5882	97311
57	5978	97093
58	6074	96876
59	6190	96990
60	6301	96999
61	6401	96855
62	6495	96612
63	6592	96418
64	6698	96356
65	6799	96227
66	6901	96112
67	7004	96004
68	7104	95863
69	7216	95870
70	7322	95813
71	7429	95762
72	7547	95837
73	7650	95738
74	7767	95800
75	7884	95862
76	8006	95971
77	8113	95907
78	8217	95804
79	8333	95830
80	8443	95793
81	8545	95663
82	8648	95553
83	8750	95424
84	8866	95445
85	8978	95419
86	9086	95352
87	9188	95230
88	9299	95185
89	9398	95030
90	9506	94959
91	9607	94826
92	9715	94755
93	9818	94629
94	9920	94505
95	10037	94518
96	10136	94361
97	10245	94301
98	10360	94293
99	10460	94147
100	10560	93995
101	10661	93858
102	10766	93761
103	10877	93711
104	11006	93815
105	11122	93809
106	11223	93672
107	11333	93605
108	11438	93501
109	11541	93377
110	11641	93240
111	11758	93228
112	11867	93151
113	11968	93016
114	12062	92829
115	12169	92740
116	12268	92591
117	12373	92489
118	12468	92305
119	12563	92134
120	12678	92102
121	12788	92032
122	12904	92007
123	13014	91939
124	13118	91827
125	13221	91709
126	13324	91594
127	13440	91566
128	13538	91411
129	13630	91221
130	13748	91205
131	13851	91084
132	13937	90856
133	14033	90691
134	14127	90518
135	14226	90378
136	14335	90305
137	14427	90119
138	14522	89953
139	14631	89877
140	14746	89836
141	14848	89721
142	14950	89596
143	15045	89438
144	15148	89326
145	15259	89259
146	15370	89191
147	15467	89042
148	15575	88959
149	15689	88904
150	15788	88769
151	15887	88633
152	15985	88494
153	16079	88331
154	16177	88191
155	16279	88075
156	16384	87975
157	16493	87895
158	16597	87790
159	16691	87629
160	16794	87516
161	16892	87383
162	16994	87265
163	17099	87166
164	17201	87049
165	17300	86919
166	17397	86778
167	17492	86629
168	17589	86488
169	17688	86360
170	17781	86204
171	17882	86085
172	17976	85932
173	18086	85858
174	18187	85740
175	18284	85604
176	18393	85525
177	18484	85359
178	18592	85278
179	18702	85199
180	18798	85060
181	18899	84946
182	19003	84841
183	19101	84711
184	19195	84563
185	19294	84437
186	19397	84331
187	19516	84292
188	19617	84177
189	19717	84059
190	19812	83919
191	19919	83829
192	20021	83718
193	20116	83577
194	20220	83472
195	20315	83335
196	20424	83252
197	20530	83157
198	20632	83049
199	20729	82918
200	20841	82848
201	20934	82702
202	21038	82600
203	21127	82439
204	21227	82320
205	21332	82223
206	21429	82096
207	21541	82021
208	21640	81903
209	21745	81802
210	21859	81741
211	21960	81626
212	22066	81533
213	22186	81489
214	22297	81411
215	22410	81340
216	22511	81228
217	22609	81104
218	22709	80985
219	22800	80839
220	22895	80703
221	22996	80590
222	23104	80501
223	23207	80396
224	23308	80283
225	23407	80164
226	23507	80049
227	23603	79921
228	23694	79773
229	23807	79703
230	23903	79575
231	23992	79424
232	24090	79303
233	24178	79149
234	24276	79027
235	24377	78916
236	24486	78833
237	24583	78709
238	24683	78593
239	24790	78502
240	24886	78375
241	24980	78243
242	25081	78134
243	25188	78042
244	25288	77931
245	25384	77803
246	25483	77687
247	25588	77592
248	25683	77464
249	25781	77344
250	25881	77232
251	25977	77107
252	26083	77014
253	26184	76903
254	26283	76789
255	26382	76675
256	26484	76567
257	26583	76454
258	26682	76338
259	26782	76226
260	26887	76130
261	26994	76036
262	27092	75921
263	27185	75790
264	27289	75690
265	27393	75589
266	27490	75470
267	27583	75340
268	27677	75211
269	27787	75129
270	27879	74997
271	27983	74897
272	28085	74790
273	28172	74646
274	28274	74542
275	28370	74421
276	28464	74294
277	28572	74205
278	28675	74105
279	28776	73996
280	28867	73863
281	28970	73760
282	29063	73633
283	29166	73533
284	29264	73418
285	29358	73292
286	29470	73215
287	29568	73098
288	29671	72996
289	29766	72875
290	29858	72747
291	29945	72607
292	30034	72473
293	30134	72363
294	30247	72285
295	30359	72207
296	30468	72117
297	30567	72007
298	30662	71886
299	30756	71765
300	30847	71634
301	30938	71507
302	31041	71406
303	31144	71304
304	31251	71212
305	31352	71106
306	31459	71014
307	31562	70913
308	31652	70783
309	31744	70657
310	31846	70553
311	31946	70446
312	32050	70347
313	32157	70254
314	32264	70163
315	32368	70063
316	32464	69946
317	32556	69822
318	32652	69706
319	32756	69607
320	32859	69507
321	32961	69402
322	33064	69302
323	33166	69199
324	33263	69085
325	33359	68971
326	33462	68868
327	33557	68751
328	33653	68636
329	33760	68544
330	33854	68424
331	33949	68307
332	34053	68209
333	34157	68109
334	34251	67992
335	34345	67873
336	34454	67784
337	34551	67672
338	34648	67558
339	34747	67451
340	34846	67343
341	34930	67205
342	35024	67088
343	35126	66984
344	35225	66877
345	35320	66762
346	35413	66642
347	35502	66515
348	35593	66394
349	35682	66267
350	35789	66175
351	35910	66107
352	36004	65991
353	36103	65883
354	36201	65773
355	36297	65662
356	36401	65564
357	36504	65462
358	36605	65359
359	36696	65237
360	36800	65139
361	36894	65024
362	36992	64915
363	37088	64802
364	37186	64694
365	37290	64595
366	37387	64486
367	37496	64395
368	37578	64259
369	37671	64142
370	37778	64050
371	37884	63955
372	37984	63850
373	38084	63745
374	38183	63639
375	38271	63515
376	38363	63395
377	38460	63287
378	38559	63181
379	38658	63074
380	38750	62957
381	38851	62854
382	38966	62773
383	39047	62638
384	39144	62530
385	39248	62431
386	39339	62313
387	39435	62202
388	39531	62091
389	39631	61987
390	39739	61896
391	39850	61808
392	39945	61696
393	40050	61600
394	40148	61493
395	40239	61374
396	40346	61282
397	40444	61174
398	40539	61062
399	40647	60970
400	40751	60873
401	40845	60760
402	40948	60660
403	41048	60556
404	41140	60441
405	41240	60336
406	41351	60249
407	41450	60143
408	41559	60052
409	41657	59945
410	41746	59827
411	41835	59707
412	41917	59577
413	42008	59461
414	42106	59354
415	42216	59265
416	42319	59165
417	42411	59051
418	42511	58948
419	42608	58840
420	42715	58746
421	42819	58648
422	42915	58539
423	43017	58439
424	43123	58342
425	43242	58265
426	43345	58166
427	43455	58076
428	43557	57975
429	43658	57873
